13:03:02.375 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.family.FamilyApplicationTests], using SpringBootContextLoader
13:03:04.936 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:32:10.486 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.family.FamilyApplicationTests], using SpringBootContextLoader
13:32:10.510 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.family.FamilyApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
13:32:10.511 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.family.FamilyApplicationTests]: FamilyApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
13:32:10.664 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.family.FamilyApplication for test class com.example.family.FamilyApplicationTests
13:32:10.841 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
13:32:10.872 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42f3156d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ddae9b5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@427b5f92, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@24bdb479, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7e3f95fe, org.springframework.test.context.transaction.TransactionalTestExecutionListener@34625ccd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2c7d121c, org.springframework.test.context.event.EventPublishingTestExecutionListener@65aa6596, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@67389cb8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@419a20a6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@533377b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3383649e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@10fde30a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@f27ea3]
13:32:11.318 [main] INFO  c.e.family.FamilyApplicationTests - Starting FamilyApplicationTests on DESKTOP-61O2SFQ with PID 5960 (started by calarck in F:\ideawork\family)
13:32:11.318 [main] INFO  c.e.family.FamilyApplicationTests - No active profile set, falling back to default profiles: default
13:32:12.124 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:32:12.129 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:32:12.164 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
13:32:13.311 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:32:13.902 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:32:14.750 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:32:14.789 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:32:14.850 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:32:14.884 [main] INFO  c.e.family.FamilyApplicationTests - Started FamilyApplicationTests in 3.96 seconds (JVM running for 5.582)
13:32:15.153 [main] INFO  c.e.family.FamilyApplicationTests - 您好
13:32:15.238 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:33:04.014 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 11256 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:33:04.017 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:33:04.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:33:04.724 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:33:04.751 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
13:33:05.147 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
13:33:05.177 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
13:33:05.178 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:33:05.178 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:33:05.356 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:33:05.356 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1294 ms
13:33:05.722 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:33:05.813 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:33:06.291 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
13:33:06.315 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path ''
13:33:06.316 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:33:06.335 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:33:06.380 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:33:06.407 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.823 seconds (JVM running for 4.191)
13:33:37.197 [http-nio-8086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:33:37.198 [http-nio-8086-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:33:37.203 [http-nio-8086-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
13:33:37.228 [http-nio-8086-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /swagger-ui.html
13:33:37.307 [http-nio-8086-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /favicon.ico
13:34:06.738 [http-nio-8086-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /swagger-ui.html
13:35:38.701 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:35:47.538 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 3000 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:35:47.541 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:35:48.246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:35:48.248 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:35:48.283 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
13:35:48.653 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:35:48.661 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:35:48.662 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:35:48.662 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:35:48.759 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:35:48.759 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1168 ms
13:35:49.099 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:35:49.191 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:35:49.649 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:35:49.671 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:35:49.672 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:35:49.690 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:35:49.720 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:35:49.741 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.587 seconds (JVM running for 3.527)
13:36:03.891 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:36:03.891 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:36:03.896 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
13:36:03.918 [http-nio-8080-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /swagger-ui.html
13:36:03.991 [http-nio-8080-exec-3] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /favicon.ico
13:44:37.731 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:44:45.574 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 5460 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:44:45.577 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:44:46.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:44:46.296 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:44:46.325 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
13:44:46.722 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:44:46.731 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:44:46.731 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:44:46.732 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:44:46.831 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:44:46.831 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1203 ms
13:44:47.179 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:44:47.272 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:44:47.735 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:44:47.757 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:44:47.759 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:44:47.778 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:44:47.808 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:44:47.830 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.637 seconds (JVM running for 3.61)
13:45:00.452 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:45:00.453 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:45:00.457 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
13:46:57.573 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:47:01.952 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 2488 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:47:01.956 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:47:02.710 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:47:02.713 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:47:02.740 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
13:47:03.127 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:47:03.136 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:47:03.136 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:47:03.136 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:47:03.234 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:47:03.235 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1234 ms
13:47:03.590 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:47:03.682 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:47:04.153 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:47:04.175 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:47:04.176 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:47:04.195 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:47:04.225 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:47:04.371 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.787 seconds (JVM running for 3.744)
13:47:17.698 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:47:17.698 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:47:17.703 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
13:50:52.709 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:50:56.774 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 3112 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:50:56.777 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:50:57.417 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:50:57.419 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:50:57.442 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
13:50:57.773 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:50:57.780 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:50:57.780 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:50:57.780 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:50:57.868 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:50:57.868 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1053 ms
13:50:58.167 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:50:58.246 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:50:58.631 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:50:58.649 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:50:58.650 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:50:58.665 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:50:58.689 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:50:58.707 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.257 seconds (JVM running for 3.028)
13:52:58.087 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:52:58.088 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:52:58.092 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
13:52:58.109 [http-nio-8080-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /swagger-ui.html
13:52:58.174 [http-nio-8080-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /favicon.ico
13:53:33.746 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 12168 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
13:53:33.749 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
13:53:34.451 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:53:34.453 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:53:34.480 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
13:53:34.862 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:53:34.871 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:53:34.871 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:53:34.872 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
13:53:34.969 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:53:34.970 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1182 ms
13:53:35.309 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
13:53:35.405 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:53:35.892 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:53:35.914 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:53:35.915 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
13:53:35.934 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
13:53:35.964 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
13:53:35.984 [main] INFO  com.example.family.FamilyApplication - Started FamilyApplication in 2.611 seconds (JVM running for 3.592)
13:53:44.088 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:53:44.089 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:53:44.094 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
13:54:05.229 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
16:40:03.210 [main] INFO  com.example.family.FamilyApplication - Starting FamilyApplication on DESKTOP-61O2SFQ with PID 4404 (F:\ideawork\family\target\classes started by calarck in F:\ideawork\family)
16:40:03.228 [main] INFO  com.example.family.FamilyApplication - No active profile set, falling back to default profiles: default
16:40:03.995 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
16:40:03.999 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
16:40:04.045 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 Redis repository interfaces.
16:40:04.453 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
